[['changjiang',1.03,1.03,25,30,150,120,30,150,120],
['duanjian',1.26,1.28,15,25,140,115,25,120,95],
['ruanjian',1.3,1.72,15,10,30,20,10,90,80],
['zhongjian',1.58,1.13,50,40,60,20,40,200,160],
['cijian',1.38,1.16,15,18,65,47,40,120,80],
['changdao',1.21,1.11,35,35,160,125,34,140,106],
['duandao',1.25,1.1,15,40,150,110,30,110,80],
['wandao',1.18,1.08,20,20,120,100,20,120,100],
['dahuandao',1.1,1.11,45,30,170,140,45,180,135],
['shuangrenfu',1.25,1.11,55,40,155,115,35,160,125],
['changgui',1.18,1.1,50,30,100,70,30,100,70],
['changqiang',0.91,1.15,45,45,130,85,30,100,70],
['sanjiegun',1.11,1.08,25,20,90,70,20,90,70],
['langyabang',1.1,1.1,60,60,200,140,20,90,70],
['zhanji',1.03,1.1,50,40,135,95,45,90,45],
['changbian',1.06,1.11,20,20,160,140,20,160,140],
['ruanbian',0.86,1.28,12,10,40,30,40,120,80],
['jiujiebian',1,1.11,40,50,160,110,25,80,55],
['ganzibian',0.88,1.3,25,20,120,100,20,100,80],
['lianjia',1.09,1.1,45,30,140,110,30,90,60],
['shuanghuan',1.06,1.01,35,30,130,100,40,120,80],
['duijian',1.18,1.06,40,30,100,70,30,170,140],
['shuanggou',1.53,1.03,35,30,130,100,40,130,90]]
